Plant Name;Light (lux);Light Range (lux);Moisture (%);Moisture Range (%);Temperature (°C);Temperature Range (°C);Humidity (%);Humidity Range (%)
Arrowhead Plant;1800;1260-2340;50;40-60;22;17-26;50;43-58
Bromeliad;3000;2100-3900;30;24-36;26;20-31;40;34-46
Cactus;4500;3150-5850;20;16-24;27;21-32;30;25-35
Coleus;1500;1050-1950;60;48-72;21;17-25;55;47-63
Dieffenbachia;1000;700-1300;70;56-84;24;19-28;80;68-92
English Ivy;900;630-1170;45;36-54;23;18-27;50;43-58
Echeveria;5000;3500-6500;35;28-42;20;16-24;40;34-46
Fatsia Japonica;2000;1400-2600;80;64-96;22;18-26;75;64-86
Fittonia;4000;2800-5200;60;48-72;25;20-30;60;51-69
Hibiscus;4500;3150-5850;75;60-90;26;20-31;85;72-98
Haworthia;2200;1540-2860;30;24-36;24;19-28;35;30-40
Hydrangea;5000;3500-6500;60;48-72;23;18-27;55;47-63
Lavender;6000;4200-7800;50;40-60;22;18-26;40;34-46
Lemon Balm;4500;3150-5850;55;44-66;25;20-30;50;43-58
Maranta;1500;1050-1950;70;56-84;21;17-25;70;60-80
Maidenhair Fern;1800;1260-2340;80;64-96;20;16-24;85;72-98
Neanthe Bella Palm;1200;840-1560;50;40-60;24;19-28;55;47-63
Nerve Plant;2000;1400-2600;40;32-48;25;20-30;45;38-52
Orchid;4500;3150-5850;70;56-84;26;20-31;80;68-92
Polka Dot Plant;1500;1050-1950;60;48-72;22;18-26;60;51-69
Pilea;2000;1400-2600;50;40-60;24;19-28;55;47-63
Ponytail Palm;3000;2100-3900;20;16-24;23;18-27;30;25-35
Rex Begonia;2500;1750-3250;70;56-84;21;17-25;80;68-92
Schefflera;1800;1260-2340;40;32-48;25;20-30;50;43-58
Sedum;1200;840-1560;35;28-42;22;18-26;40;34-46
Silver Pothos;4000;2800-5200;30;24-36;27;21-32;30;25-35
Staghorn Fern;3000;2100-3900;40;32-48;23;18-27;55;47-63
String of Pearls;1500;1050-1950;60;48-72;24;19-28;60;51-69
Tradescantia;3000;2100-3900;50;40-60;21;17-25;50;43-58
Weeping Fig;1000;700-1300;80;64-96;26;20-31;80;68-92
Yucca;5000;3500-6500;20;16-24;22;18-26;20;17-23
Zebra Plant;500;350-650;30;24-36;20;16-24;30;25-35
Air Plant;2000;1400-2600;50;40-60;24;19-28;40;34-46
African Violet;1000;700-1300;70;56-84;21;17-25;50;43-58
Aspidistra;1300;910-1690;45;36-54;22;18-26;45;38-52
Banana Plant;4500;3150-5850;80;64-96;26;20-31;80;68-92
Bay Laurel;4000;2800-5200;60;48-72;23;18-27;60;51-69
Bird's Nest Fern;3000;2100-3900;50;40-60;24;19-28;55;47-63
Blue Star Fern;2500;1750-3250;40;32-48;22;18-26;40;34-46
Burro's Tail;2000;1400-2600;30;24-36;27;21-32;30;25-35
Castor Bean Plant;500;350-650;60;48-72;21;17-25;55;47-63
Cat Palm;900;630-1170;70;56-84;24;19-28;70;60-80
Ctenanthe;2500;1750-3250;50;40-60;22;18-26;50;43-58
